equipment,mentions,example_tests,test_ids
"Acoustic measurement setup",1,"Sound power level measurement","ISO13347_SOUND"
"Bending rig",5,"Misalignment; Cold bending; Conduit connection (general)","IEC62208_913; UL_RMCC_GENERAL; UL_MISALIGNMENT; FX_COLD_BEND; UL_POLY_RMCC_BENDING"
"Cold chamber/freezer",2,"Gasket compression; Cold bending","UL_COMPRESSION; FX_COLD_BEND"
"Compression tester/press",5,"Crushing resistance; Lock test; Gasket compression","IEC61386_102; UL_COMPRESSION; UL_CRUSHING; FX_LOCK; IEC62208_96"
"Continuity tester",1,"Earth continuity","IEC62208_912"
"Corrosion test setup",6,"Corrosion resistance; Drip test; Ingress protection (IP)","IEC62208_914; IEC62208_99; UL_DRIP; UL_CORR_OUTDOOR_SALT_60H; UL_CORR_INDOOR"
"Dielectric/hipot tester",10,"Dielectric strength; Crushing resistance; Lifting / handling","IEC61386_102; UL_CORR_ADDITIONAL; IEC62208_911; IEC62208_912; UL_CRUSHING"
"Dimensional measurement tools",3,"Sound power level measurement; Perceived quality check; Earth continuity","ISO13347_SOUND; IEC62208_912; FX_QUALITY_PERCEIVED"
"Drip apparatus",3,"Misalignment; Drip test; Flammability","UL_FLAMM_127; UL_MISALIGNMENT; UL_DRIP"
"Dust chamber",4,"Hose-down test; Misalignment; Shock load resistance","UL_DUST_HOSE; UL_MISALIGNMENT; IEC61439_1013; UL_HOSEDOWN"
"Flammability test setup",2,"Flammability; Resistance to abnormal heat & fire","IEC62208_9103; UL_FLAMM_127"
"Immersion tank",1,"Oil immersion","UL_OIL_IMMERSION"
"Impact tester/rig",10,"Impact resistance (observation openings); Atomized water (method A); Shock resistance (tubes)","IEC62208_913; IEC61439_1013; UL_IMPACT_OBS_OPENINGS; UL_COMPRESSION; IEC62208_912"
"Ingress protection test rig",2,"Drip test; Ingress protection (IP)","IEC62208_99; UL_DRIP"
"Load test rig",14,"Door mechanical strength; Crushing resistance; Comparative deflection","UL_POLY_RMCC_PULLOUT; IEC61386_102; IEC61439_1013; IEC61439_1014; IEC61439_1012"
"Pressure test rig",6,"Rain test; Atomized water (method A); Resistance to normal heat","UL_ATOMIZED_B; UL_COMPRESSION; IEC62208_9102; UL_ATOMIZED_A; UL_RAIN"
"Rain/spray rig",4,"Door mechanical strength; Misalignment; Drip test","IEC61439_1016; UL_MISALIGNMENT; UL_RAIN; UL_DRIP"
"Salt spray/fog chamber",2,"Outdoor corrosion (salt spray 60h); Indoor corrosion protection","UL_CORR_OUTDOOR_SALT_60H; UL_CORR_INDOOR"
"Tensile tester",3,"Gasket tensile & elongation; Conduit connection — pullout; Oil exclusion","UL_POLY_RMCC_PULLOUT; UL_TENSILE_ELONG; UL_OIL_EXCLUSION"
"Thermal/heat chamber",1,"Mold stress-relief","UL_MOLD_STRESS_RELIEF"
"Torque measurement tool",4,"Misalignment; Conduit connection (general); Lock test","UL_RMCC_GENERAL; UL_MISALIGNMENT; FX_LOCK; UL_POLY_RMCC_TORQUE"
"Torsion rig",1,"Torsional stress resistance","IEC61439_1014"
"UV weathering tester",1,"UV resistance","IEC62208_913"
"Visual inspection setup",1,"Conformity of marking","IEC61386_7C"
"Water jet/hose setup",7,"Misalignment; Hose-down test; Dust test (hose method)","UL_DUST_HOSE; IEC62208_99; UL_ATOMIZED_B; UL_MISALIGNMENT; UL_HOSEDOWN"
